price,const,avg_rating,cnt_reviews,pages_cnt,tirage,publisher_АСТ,publisher_Азбука,publisher_Иностранка,publisher_Эксмо,cover_type_Твёрдый_переплёт,weight/page_cnt,2024_or_2025,6-,16+
293,1.0,5.0,33,416,20000,0.0,0.0,0.0,1.0,1.0,0.7644230769230769,1.0,0.0,1.0
1057,1.0,4.9,85,672,5000,0.0,1.0,0.0,0.0,1.0,1.2202380952380953,1.0,0.0,0.0
330,1.0,4.2,813,224,12000,1.0,0.0,0.0,0.0,0.0,0.7098214285714286,1.0,0.0,1.0
321,1.0,4.6,62,224,12000,1.0,0.0,0.0,0.0,0.0,0.6696428571428571,1.0,0.0,1.0
965,1.0,4.8,59,512,10000,0.0,0.0,0.0,1.0,1.0,1.0546875,1.0,0.0,1.0
299,1.0,3.9,807,256,12000,1.0,0.0,0.0,0.0,0.0,0.6640625,1.0,0.0,0.0
303,1.0,4.1,229,592,15000,0.0,0.0,0.0,1.0,1.0,0.6570945945945946,1.0,0.0,1.0
312,1.0,4.3,111,704,7000,1.0,0.0,0.0,0.0,0.0,0.48295454545454547,1.0,0.0,0.0
284,1.0,4.2,420,352,15000,1.0,0.0,0.0,0.0,0.0,0.59375,1.0,0.0,0.0
339,1.0,4.1,487,256,7000,1.0,0.0,0.0,0.0,0.0,0.62109375,1.0,0.0,1.0
299,1.0,4.2,256,672,10000,0.0,1.0,0.0,0.0,0.0,0.49107142857142855,1.0,0.0,1.0
299,1.0,4.5,46,256,15000,1.0,0.0,0.0,0.0,0.0,0.6640625,1.0,0.0,0.0
349,1.0,4.0,506,320,8000,1.0,0.0,0.0,0.0,0.0,0.71875,1.0,0.0,1.0
459,1.0,4.2,570,608,8000,1.0,0.0,0.0,0.0,0.0,0.5592105263157895,1.0,0.0,0.0
299,1.0,4.3,161,256,5000,0.0,1.0,0.0,0.0,0.0,0.50390625,1.0,0.0,1.0
284,1.0,4.2,442,384,15000,1.0,0.0,0.0,0.0,0.0,0.5989583333333334,1.0,0.0,0.0
339,1.0,4.0,234,288,5000,1.0,0.0,0.0,0.0,0.0,0.6076388888888888,1.0,0.0,1.0
293,1.0,4.2,319,160,8000,1.0,0.0,0.0,0.0,0.0,0.68125,1.0,0.0,1.0
625,1.0,4.1,677,416,10000,0.0,0.0,0.0,1.0,0.0,0.8389423076923077,1.0,0.0,1.0
487,1.0,4.0,472,800,12000,1.0,0.0,0.0,0.0,0.0,0.48625,1.0,0.0,0.0
303,1.0,4.3,362,160,7000,0.0,1.0,0.0,0.0,0.0,0.625,1.0,0.0,1.0
